Konsept,Tema,Varyant,Hook,Primary Text,Headline,CTA
Konsept1-TasKonak,Taş konak & 600 yıllık köy,A-Hikaye,600 yıllık köyde bir sabah...,"600 yıllık köyde bir sabah... 600 yıllık Kozbeyli köyünde, Osmanlı taş mimarisiyle restore edilmiş bir konak. Avlu, zeytinlikler ve köyün dokusu sizi bekliyor. Doğrudan rezerve edin, komisyon ödemeyin.",Taş Konakta Huzur,Book Now
Konsept1-TasKonak,Taş konak & 600 yıllık köy,B-Fayda,Deniz manzaralı oda + organik kahvaltı.,"Deniz manzaralı oda + organik kahvaltı. 600 yıllık Kozbeyli köyünde, Osmanlı taş mimarisiyle restore edilmiş bir konak. Avlu, zeytinlikler ve köyün dokusu sizi bekliyor. Doğrudan rezerve edin, komisyon ödemeyin.",Taş Konakta Huzur,Book Now
Konsept1-TasKonak,Taş konak & 600 yıllık köy,C-Aciliyet,Bu hafta birkaç oda boş.,"Bu hafta birkaç oda boş. 600 yıllık Kozbeyli köyünde, Osmanlı taş mimarisiyle restore edilmiş bir konak. Avlu, zeytinlikler ve köyün dokusu sizi bekliyor. Doğrudan rezerve edin, komisyon ödemeyin.",Taş Konakta Huzur,Book Now
Konsept2-Manzara,"Oda, çatı terası & Ege manzarası",A-Hikaye,600 yıllık köyde bir sabah...,"600 yıllık köyde bir sabah... Odanızdan çatı terasına çıkın, Ege manzarası ve gün batımı önünüzde. Kozbeyli Konağı'nda sakin bir kaçış için müsaitliğe bakın.",Ege Manzaralı Kaçış,Book Now
Konsept2-Manzara,"Oda, çatı terası & Ege manzarası",B-Fayda,Deniz manzaralı oda + organik kahvaltı.,"Deniz manzaralı oda + organik kahvaltı. Odanızdan çatı terasına çıkın, Ege manzarası ve gün batımı önünüzde. Kozbeyli Konağı'nda sakin bir kaçış için müsaitliğe bakın.",Ege Manzaralı Kaçış,Book Now
Konsept2-Manzara,"Oda, çatı terası & Ege manzarası",C-Aciliyet,Bu hafta birkaç oda boş.,"Bu hafta birkaç oda boş. Odanızdan çatı terasına çıkın, Ege manzarası ve gün batımı önünüzde. Kozbeyli Konağı'nda sakin bir kaçış için müsaitliğe bakın.",Ege Manzaralı Kaçış,Book Now
Konsept3-Kahvalti,Organik köy kahvaltısı & Antakya–Ege mutfağı,A-Hikaye,600 yıllık köyde bir sabah...,"600 yıllık köyde bir sabah... Pişi, ev reçelleri, dibek kahvesi ve Antakya sofrası. Kozbeyli Konağı'nda güne organik köy kahvaltısıyla başlayın.",Organik Köy Kahvaltısı,Learn More
Konsept3-Kahvalti,Organik köy kahvaltısı & Antakya–Ege mutfağı,B-Fayda,Deniz manzaralı oda + organik kahvaltı.,"Deniz manzaralı oda + organik kahvaltı. Pişi, ev reçelleri, dibek kahvesi ve Antakya sofrası. Kozbeyli Konağı'nda güne organik köy kahvaltısıyla başlayın.",Organik Köy Kahvaltısı,Learn More
Konsept3-Kahvalti,Organik köy kahvaltısı & Antakya–Ege mutfağı,C-Aciliyet,Bu hafta birkaç oda boş.,"Bu hafta birkaç oda boş. Pişi, ev reçelleri, dibek kahvesi ve Antakya sofrası. Kozbeyli Konağı'nda güne organik köy kahvaltısıyla başlayın.",Organik Köy Kahvaltısı,Learn More
Konsept4-Evcil,Evcil hayvan dostu konaklama,A-Hikaye,600 yıllık köyde bir sabah...,"600 yıllık köyde bir sabah... Evcil dostunuz da davetli — ücretsiz. Konak avlusunda huzurlu bir tatil, mama kabı bizden. Kozbeyli Konağı'nda yerinizi ayırtın.",Evcil Dostunuzla Gelin,Book Now
Konsept4-Evcil,Evcil hayvan dostu konaklama,B-Fayda,Deniz manzaralı oda + organik kahvaltı.,"Deniz manzaralı oda + organik kahvaltı. Evcil dostunuz da davetli — ücretsiz. Konak avlusunda huzurlu bir tatil, mama kabı bizden. Kozbeyli Konağı'nda yerinizi ayırtın.",Evcil Dostunuzla Gelin,Book Now
Konsept4-Evcil,Evcil hayvan dostu konaklama,C-Aciliyet,Bu hafta birkaç oda boş.,"Bu hafta birkaç oda boş. Evcil dostunuz da davetli — ücretsiz. Konak avlusunda huzurlu bir tatil, mama kabı bizden. Kozbeyli Konağı'nda yerinizi ayırtın.",Evcil Dostunuzla Gelin,Book Now
Konsept5-WhatsApp,Hafta içi sakin kaçış & müsaitlik (WhatsApp/Mesaj),A-Hikaye,600 yıllık köyde bir sabah...,"600 yıllık köyde bir sabah... Bu hafta birkaç oda boş. Hafta içi sessizliğinde Kozbeyli Konağı'na kaçın. Tarih ve fiyat için mesaj atın, hemen yanıtlayalım.",Bu Hafta Birkaç Oda,Send Message
Konsept5-WhatsApp,Hafta içi sakin kaçış & müsaitlik (WhatsApp/Mesaj),B-Fayda,Deniz manzaralı oda + organik kahvaltı.,"Deniz manzaralı oda + organik kahvaltı. Bu hafta birkaç oda boş. Hafta içi sessizliğinde Kozbeyli Konağı'na kaçın. Tarih ve fiyat için mesaj atın, hemen yanıtlayalım.",Bu Hafta Birkaç Oda,Send Message
Konsept5-WhatsApp,Hafta içi sakin kaçış & müsaitlik (WhatsApp/Mesaj),C-Aciliyet,Bu hafta birkaç oda boş.,"Bu hafta birkaç oda boş. Bu hafta birkaç oda boş. Hafta içi sessizliğinde Kozbeyli Konağı'na kaçın. Tarih ve fiyat için mesaj atın, hemen yanıtlayalım.",Bu Hafta Birkaç Oda,Send Message
