Campaign,Ad Group,Variant,Ad type,Status,Final URL,Path 1,Path 2,Headline 1 position,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Kozbeyli | Marka | Search,Marka,A-Miras,Responsive search ad,Paused,https://www.kozbeylikonagi.com/rezervasyon,Foca,Rezervasyon,1,600 Yıllık Taş Konak,Kozbeyli Konağı Resmî,Kozbeyli Konağı Foça,Doğrudan & Komisyonsuz,Resmî Siteden Rezerve Et,Deniz Manzaralı Odalar,Organik Köy Kahvaltısı,Çatı Terası & Ege Manzarası,Evcil Hayvan Dostu Otel,Yeni Foça'ya Yakın Huzur,16 Özel Tasarım Oda,Antakya & Ege Mutfağı,Hızlı Tarih Seçimi,Otelden Direkt Fiyat,Kozbeyli Köyünde Konak,"Kozbeyli Konağı resmî sitesi. Doğrudan rezerve edin, komisyon ödemeyin.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası. Hızlı ve güvenli rezervasyon.","Evcil dostlarınız ücretsiz. Sessizlik, miras ve zarafet bir arada."
Kozbeyli | Marka | Search,Marka,B-Manzara,Responsive search ad,Paused,https://www.kozbeylikonagi.com/rezervasyon,Foca,Rezervasyon,1,Deniz Manzaralı Odalar,Kozbeyli Konağı Resmî,Kozbeyli Konağı Foça,Doğrudan & Komisyonsuz,Resmî Siteden Rezerve Et,600 Yıllık Taş Konak,Organik Köy Kahvaltısı,Çatı Terası & Ege Manzarası,Evcil Hayvan Dostu Otel,Yeni Foça'ya Yakın Huzur,16 Özel Tasarım Oda,Antakya & Ege Mutfağı,Hızlı Tarih Seçimi,Otelden Direkt Fiyat,Kozbeyli Köyünde Konak,"Kozbeyli Konağı resmî sitesi. Doğrudan rezerve edin, komisyon ödemeyin.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası. Hızlı ve güvenli rezervasyon.","Evcil dostlarınız ücretsiz. Sessizlik, miras ve zarafet bir arada."
Kozbeyli | Marka | Search,Marka,C-Direkt,Responsive search ad,Paused,https://www.kozbeylikonagi.com/rezervasyon,Foca,Rezervasyon,1,Doğrudan & Komisyonsuz,Kozbeyli Konağı Resmî,Kozbeyli Konağı Foça,Resmî Siteden Rezerve Et,600 Yıllık Taş Konak,Deniz Manzaralı Odalar,Organik Köy Kahvaltısı,Çatı Terası & Ege Manzarası,Evcil Hayvan Dostu Otel,Yeni Foça'ya Yakın Huzur,16 Özel Tasarım Oda,Antakya & Ege Mutfağı,Hızlı Tarih Seçimi,Otelden Direkt Fiyat,Kozbeyli Köyünde Konak,"Kozbeyli Konağı resmî sitesi. Doğrudan rezerve edin, komisyon ödemeyin.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası. Hızlı ve güvenli rezervasyon.","Evcil dostlarınız ücretsiz. Sessizlik, miras ve zarafet bir arada."
Kozbeyli | NonBrand | Search,NonBrand-Foca-Butik,A-Miras,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Butik-Otel,1,600 Yıllık Taş Konak,Foça Butik Taş Otel,Foça'da Taş Konak Oteli,600 Yıllık Köy Konağı,Otantik Foça Konaklama,Kozbeyli Köyü Butik Otel,Kozbeyli Konağı Foça,Deniz Manzaralı Taş Oda,Organik Köy Kahvaltısı,Doğrudan Rezervasyon,Komisyonsuz Otelden Fiyat,Evcil Hayvan Dostu Otel,Çatı Terasında Ege Keyfi,16 Özel Tasarım Oda,Yeni Foça'ya Yakın,"Foça'da otantik taş konak oteli. 600 yıllık köyde 16 oda, doğrudan rezervasyon.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.","Evcil dostlarınız ücretsiz. Sessizlik, miras ve zarafet bir arada."
Kozbeyli | NonBrand | Search,NonBrand-Foca-Butik,B-Manzara,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Butik-Otel,1,Deniz Manzaralı Odalar,Foça Butik Taş Otel,Foça'da Taş Konak Oteli,600 Yıllık Köy Konağı,Otantik Foça Konaklama,Kozbeyli Köyü Butik Otel,Kozbeyli Konağı Foça,Deniz Manzaralı Taş Oda,Organik Köy Kahvaltısı,Doğrudan Rezervasyon,Komisyonsuz Otelden Fiyat,Evcil Hayvan Dostu Otel,Çatı Terasında Ege Keyfi,16 Özel Tasarım Oda,Yeni Foça'ya Yakın,"Foça'da otantik taş konak oteli. 600 yıllık köyde 16 oda, doğrudan rezervasyon.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.","Evcil dostlarınız ücretsiz. Sessizlik, miras ve zarafet bir arada."
Kozbeyli | NonBrand | Search,NonBrand-Foca-Butik,C-Direkt,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Butik-Otel,1,Doğrudan & Komisyonsuz,Foça Butik Taş Otel,Foça'da Taş Konak Oteli,600 Yıllık Köy Konağı,Otantik Foça Konaklama,Kozbeyli Köyü Butik Otel,Kozbeyli Konağı Foça,Deniz Manzaralı Taş Oda,Organik Köy Kahvaltısı,Doğrudan Rezervasyon,Komisyonsuz Otelden Fiyat,Evcil Hayvan Dostu Otel,Çatı Terasında Ege Keyfi,16 Özel Tasarım Oda,Yeni Foça'ya Yakın,"Foça'da otantik taş konak oteli. 600 yıllık köyde 16 oda, doğrudan rezervasyon.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.","Evcil dostlarınız ücretsiz. Sessizlik, miras ve zarafet bir arada."
Kozbeyli | NonBrand | Search,NonBrand-Foca-Genel,A-Miras,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Konaklama,1,600 Yıllık Taş Konak,Foça'da Konaklama,Foça Deniz Manzaralı Otel,Foça Hafta Sonu Kaçamağı,Foça Balayı Konağı,Evcil Dostu Foça Oteli,Kozbeyli Konağı Foça,600 Yıllık Köyde Huzur,Organik Köy Kahvaltısı,Doğrudan & Komisyonsuz,Çatı Terası Ege Manzarası,16 Özel Tasarım Oda,Yeni Foça'ya Yakın,"Sessiz, Özel Kaçış",Antakya & Ege Mutfağı,"Foça'da deniz manzaralı, evcil dostu konaklama. Doğrudan otelden rezerve edin.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.","Hafta sonu ve balayı için sessiz, özel kaçış. Komisyon ödemeyin."
Kozbeyli | NonBrand | Search,NonBrand-Foca-Genel,B-Manzara,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Konaklama,1,Deniz Manzaralı Odalar,Foça'da Konaklama,Foça Deniz Manzaralı Otel,Foça Hafta Sonu Kaçamağı,Foça Balayı Konağı,Evcil Dostu Foça Oteli,Kozbeyli Konağı Foça,600 Yıllık Köyde Huzur,Organik Köy Kahvaltısı,Doğrudan & Komisyonsuz,Çatı Terası Ege Manzarası,16 Özel Tasarım Oda,Yeni Foça'ya Yakın,"Sessiz, Özel Kaçış",Antakya & Ege Mutfağı,"Foça'da deniz manzaralı, evcil dostu konaklama. Doğrudan otelden rezerve edin.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.","Hafta sonu ve balayı için sessiz, özel kaçış. Komisyon ödemeyin."
Kozbeyli | NonBrand | Search,NonBrand-Foca-Genel,C-Direkt,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Konaklama,1,Doğrudan & Komisyonsuz,Foça'da Konaklama,Foça Deniz Manzaralı Otel,Foça Hafta Sonu Kaçamağı,Foça Balayı Konağı,Evcil Dostu Foça Oteli,Kozbeyli Konağı Foça,600 Yıllık Köyde Huzur,Organik Köy Kahvaltısı,Çatı Terası Ege Manzarası,16 Özel Tasarım Oda,Yeni Foça'ya Yakın,"Sessiz, Özel Kaçış",Antakya & Ege Mutfağı,Resmî Siteden Rezerve Et,"Foça'da deniz manzaralı, evcil dostu konaklama. Doğrudan otelden rezerve edin.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.","Hafta sonu ve balayı için sessiz, özel kaçış. Komisyon ödemeyin."
Kozbeyli | NonBrand | Search,NonBrand-Niche,A-Miras,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Koy-Konak,1,600 Yıllık Taş Konak,İzmir Taş Konak Oteli,İzmir Butik Köy Oteli,Ege Köy Kahvaltısı Konağı,Sakin Doğa Kaçışı,600 Yıllık Köyde Huzur,Kozbeyli Konağı Foça,Deniz Manzaralı Taş Oda,Organik Köy Kahvaltısı,Doğrudan Rezervasyon,Evcil Hayvan Dostu Otel,Çatı Terasında Ege Keyfi,Yeni Foça'ya Yakın,16 Özel Tasarım Oda,Zeytinlikte Taş Konak,"İzmir/Foça'da taş konak deneyimi: köy kahvaltısı, doğa, sessizlik. Komisyonsuz.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.",Doğa ve sakinlik arayanlara. Evcil dostlarınız ücretsiz kabul edilir.
Kozbeyli | NonBrand | Search,NonBrand-Niche,B-Manzara,Responsive search ad,Paused,https://www.kozbeylikonagi.com/odalar,Foca,Koy-Konak,1,Deniz Manzaralı Odalar,İzmir Taş Konak Oteli,İzmir Butik Köy Oteli,Ege Köy Kahvaltısı Konağı,Sakin Doğa Kaçışı,600 Yıllık Köyde Huzur,Kozbeyli Konağı Foça,Deniz Manzaralı Taş Oda,Organik Köy Kahvaltısı,Doğrudan Rezervasyon,Evcil Hayvan Dostu Otel,Çatı Terasında Ege Keyfi,Yeni Foça'ya Yakın,16 Özel Tasarım Oda,Zeytinlikte Taş Konak,"İzmir/Foça'da taş konak deneyimi: köy kahvaltısı, doğa, sessizlik. Komisyonsuz.","Osmanlı taş mimarisinde 16 oda, deniz manzarası ve organik köy kahvaltısı.","Çatı terasında Ege manzarası, Antakya sofrası, pişi ve dibek kahvesi.",Doğa ve sakinlik arayanlara. Evcil dostlarınız ücretsiz kabul edilir.
