alan,yapılacak,öncelik
Doğrulama,İşletme sahipliği doğrulanmış (kart/telefon/video),Kritik
İsim,Tam olarak 'Kozbeyli Konağı' (anahtar kelime doldurma YOK),Kritik
Birincil kategori,Otel (Hotel),Kritik
Ek kategoriler,Restoran; Düğün/etkinlik mekânı; Kahvaltı yeri,Yüksek
NAP,Ad-Adres-Telefon site + tüm dizinlerle BİREBİR aynı,Kritik
Adres/pin,Harita pini gerçek konuma tam oturuyor (No:188),Kritik
Telefon,+90 532 234 2686 (yerel + tutarlı),Yüksek
Web sitesi,kozbeylikonagi.com (UTM ile izlenebilir),Yüksek
Rezervasyon linki,Doğrudan hmshotel.net rezervasyon bağlantısı eklendi,Yüksek
Çalışma saatleri,7/24 resepsiyon / sezon saatleri güncel,Orta
Öznitelikler,"Evcil dostu, ücretsiz Wi-Fi, ücretsiz otopark, kahvaltı, erişilebilirlik",Yüksek
Fotoğraflar,"Cephe, odalar, kahvaltı, teras, restoran, logo, kapak — min 25 görsel",Yüksek
Video,Kısa konak/oda turu (15-30 sn),Orta
Açıklama,"750 karakter, USP'ler + Foça/Kozbeyli + doğal anahtar kelimeler",Yüksek
Ürün/Hizmet,Oda tipleri (Standart/Superior/Aile) + restoran + etkinlik,Orta
Google Posts,Haftalık post (teklif/etkinlik/sezon),Orta
Soru-Cevap,"Sık sorulanları kendin sor + yanıtla (evcil, otopark, kahvaltı)",Orta
Yorumlar,Her misafirden iste; TÜMÜNE 48 saatte yanıt ver,Kritik
Mesajlaşma,GBP mesajlaşma açık + hızlı yanıt,Orta
Spam,Rakip/sahte listeleme veya yinelenen pin yok (Maps'te temizlik),Orta
